Product Id,Product Name,Brand,Category,Subscription Plan
1,iPhone 7 128GB,Apple,Phones & Tablets,44.99
2,iPhone 7 32GB,Apple,Phones & Tablets,39.99
3,iPhone 7 Plus 128GB,Apple,Phones & Tablets,49.99
4,Galaxy S8 64GB,Samsung,Phones & Tablets,44.99
5,Galaxy S8+ 64GB,Samsung,Phones & Tablets,49.99
6,Drone BEBOP,Parrot,Drones,49.99
7,Drone BEBOP 2,Parrot,Drones,59.99
8,Vive,HTC,Gaming & VR,59.99
9,Virtual Reality Glasses Rift VR,Oculus,Gaming & VR,59.99
10,"MacBook 12"" M-5Y31, 8GB RAM, 516GB",Apple,Computing,59.99
11,"MacBook Air 11"" i7 2.2, 8GB RAM, 512GB",Apple,Computing,64.99
12,"MacBook Air 13"" i5-5250U, 4GB RAM, 128GB",Apple,Computing,69.99
13,"MacBook Pro 13"" i5-3210M, 4GB RAM, 500GB",Apple,Computing,74.99
14,Convertible Laptop Surface Book 512GB SSD Intel Core i7 16GB RAM dGPU,Microsoft,Computing,59.99
15,Convertible Laptop YOGA 300-11IBR 80M1004KGE,Lenovo,Computing,59.99
16,Watch 38mm,Apple,Wearables,39.99
17,Watch 42mm,Apple,Wearables,44.99
18,Watch Ambit 3,Suunto,Wearables,39.99
19,Watch V800,Polar,Wearables,39.99
20,Watch WI503Q-1LDBR0001,Asus,Wearables,44.99
21,Alexa Dot,Amazon,Smart Home,44.99
22,Alexa Echo,Amazon,Smart Home,49.99
23,Qbo Milk Master,Tchibo,Smart Home,29.99
24,Robotic Vacuum Cleaner POWERbot VR20J9020UR/EG,Samsung,Smart Home,39.99
25,Robotic Vacuum Cleaner POWERbot VR20J9259U/EG,Samsung,Smart Home,39.99
